Date,Season,home,visitor,FT,hgoal,vgoal,division,tier,totgoal,goaldif,result
1983-08-27,1983,Aldershot,Hereford United,1-4,1,4,4,4,5,-3,A
1983-08-27,1983,Blackpool,Reading,1-0,1,0,4,4,1,1,H
1983-08-27,1983,Bristol City,Mansfield Town,4-0,4,0,4,4,4,4,H
1983-08-27,1983,Chester,Northampton Town,1-1,1,1,4,4,2,0,D
1983-08-27,1983,Chesterfield,Swindon Town,1-0,1,0,4,4,1,1,H
1983-08-27,1983,Darlington,Colchester United,0-2,0,2,4,4,2,-2,A
1983-08-27,1983,Doncaster Rovers,Wrexham,3-0,3,0,4,4,3,3,H
1983-08-27,1983,Halifax Town,Torquay United,2-2,2,2,4,4,4,0,D
1983-08-27,1983,Peterborough United,Hartlepool United,3-1,3,1,4,4,4,2,H
1983-08-27,1983,Rochdale,Crewe Alexandra,1-0,1,0,4,4,1,1,H
1983-08-27,1983,Stockport County,York City,0-2,0,2,4,4,2,-2,A
1983-08-27,1983,Tranmere Rovers,Bury,1-1,1,1,4,4,2,0,D
1983-09-03,1983,Bury,Bristol City,2-1,2,1,4,4,3,1,H
1983-09-03,1983,Colchester United,Blackpool,2-1,2,1,4,4,3,1,H
1983-09-03,1983,Crewe Alexandra,Chesterfield,2-1,2,1,4,4,3,1,H
1983-09-03,1983,Hartlepool United,Aldershot,0-1,0,1,4,4,1,-1,A
1983-09-03,1983,Hereford United,Halifax Town,0-0,0,0,4,4,0,0,D
1983-09-03,1983,Mansfield Town,Doncaster Rovers,1-2,1,2,4,4,3,-1,A
1983-09-03,1983,Northampton Town,Darlington,2-0,2,0,4,4,2,2,H
1983-09-03,1983,Reading,Stockport County,6-2,6,2,4,4,8,4,H
1983-09-03,1983,Swindon Town,Chester,4-0,4,0,4,4,4,4,H
1983-09-03,1983,Torquay United,Tranmere Rovers,1-1,1,1,4,4,2,0,D
1983-09-03,1983,Wrexham,Peterborough United,2-2,2,2,4,4,4,0,D
1983-09-03,1983,York City,Rochdale,2-0,2,0,4,4,2,2,H
1983-09-06,1983,Bury,Blackpool,0-0,0,0,4,4,0,0,D
1983-09-06,1983,Colchester United,Bristol City,0-0,0,0,4,4,0,0,D
1983-09-06,1983,Crewe Alexandra,Aldershot,0-0,0,0,4,4,0,0,D
1983-09-06,1983,Mansfield Town,Stockport County,1-2,1,2,4,4,3,-1,A
1983-09-06,1983,Northampton Town,Tranmere Rovers,0-0,0,0,4,4,0,0,D
1983-09-06,1983,Swindon Town,Halifax Town,2-3,2,3,4,4,5,-1,A
1983-09-06,1983,Wrexham,Rochdale,5-1,5,1,4,4,6,4,H
1983-09-06,1983,York City,Peterborough United,2-0,2,0,4,4,2,2,H
1983-09-07,1983,Hartlepool United,Chesterfield,2-2,2,2,4,4,4,0,D
1983-09-07,1983,Hereford United,Chester,2-1,2,1,4,4,3,1,H
1983-09-07,1983,Reading,Doncaster Rovers,3-2,3,2,4,4,5,1,H
1983-09-07,1983,Torquay United,Darlington,0-1,0,1,4,4,1,-1,A
1983-09-09,1983,Halifax Town,Mansfield Town,0-0,0,0,4,4,0,0,D
1983-09-09,1983,Stockport County,Colchester United,0-0,0,0,4,4,0,0,D
1983-09-10,1983,Aldershot,Bury,1-2,1,2,4,4,3,-1,A
1983-09-10,1983,Blackpool,Northampton Town,2-3,2,3,4,4,5,-1,A
1983-09-10,1983,Bristol City,Hartlepool United,2-0,2,0,4,4,2,2,H
1983-09-10,1983,Chester,Crewe Alexandra,0-1,0,1,4,4,1,-1,A
1983-09-10,1983,Chesterfield,York City,2-1,2,1,4,4,3,1,H
1983-09-10,1983,Darlington,Swindon Town,1-0,1,0,4,4,1,1,H
1983-09-10,1983,Peterborough United,Torquay United,5-0,5,0,4,4,5,5,H
1983-09-10,1983,Rochdale,Reading,4-1,4,1,4,4,5,3,H
1983-09-10,1983,Tranmere Rovers,Wrexham,2-1,2,1,4,4,3,1,H
1983-09-11,1983,Doncaster Rovers,Hereford United,3-0,3,0,4,4,3,3,H
1983-09-16,1983,Wrexham,Bristol City,3-1,3,1,4,4,4,2,H
1983-09-17,1983,Colchester United,Rochdale,4-0,4,0,4,4,4,4,H
1983-09-17,1983,Crewe Alexandra,Darlington,2-1,2,1,4,4,3,1,H
1983-09-17,1983,Hartlepool United,Doncaster Rovers,1-0,1,0,4,4,1,1,H
1983-09-17,1983,Hereford United,Peterborough United,2-1,2,1,4,4,3,1,H
1983-09-17,1983,Mansfield Town,Tranmere Rovers,1-0,1,0,4,4,1,1,H
1983-09-17,1983,Reading,Chesterfield,1-1,1,1,4,4,2,0,D
1983-09-17,1983,Swindon Town,Blackpool,0-0,0,0,4,4,0,0,D
1983-09-17,1983,Torquay United,Aldershot,0-1,0,1,4,4,1,-1,A
1983-09-17,1983,York City,Chester,4-1,4,1,4,4,5,3,H
1983-09-18,1983,Bury,Halifax Town,3-0,3,0,4,4,3,3,H
1983-09-18,1983,Northampton Town,Stockport County,0-0,0,0,4,4,0,0,D
1983-09-23,1983,Halifax Town,Hartlepool United,3-2,3,2,4,4,5,1,H
1983-09-23,1983,Stockport County,Swindon Town,1-3,1,3,4,4,4,-2,A
1983-09-23,1983,Tranmere Rovers,Hereford United,0-1,0,1,4,4,1,-1,A
1983-09-24,1983,Aldershot,Wrexham,1-1,1,1,4,4,2,0,D
1983-09-24,1983,Blackpool,Crewe Alexandra,3-0,3,0,4,4,3,3,H
1983-09-24,1983,Bristol City,Torquay United,5-0,5,0,4,4,5,5,H
1983-09-24,1983,Chester,Reading,2-1,2,1,4,4,3,1,H
1983-09-24,1983,Chesterfield,Colchester United,1-1,1,1,4,4,2,0,D
1983-09-24,1983,Darlington,York City,0-0,0,0,4,4,0,0,D
1983-09-24,1983,Doncaster Rovers,Bury,3-1,3,1,4,4,4,2,H
1983-09-24,1983,Peterborough United,Mansfield Town,3-0,3,0,4,4,3,3,H
1983-09-24,1983,Rochdale,Northampton Town,1-1,1,1,4,4,2,0,D
1983-09-26,1983,Stockport County,Wrexham,1-1,1,1,4,4,2,0,D
1983-09-26,1983,Tranmere Rovers,Colchester United,2-1,2,1,4,4,3,1,H
1983-09-27,1983,Aldershot,Swindon Town,2-1,2,1,4,4,3,1,H
1983-09-27,1983,Blackpool,Mansfield Town,2-0,2,0,4,4,2,2,H
1983-09-27,1983,Bristol City,Reading,3-1,3,1,4,4,4,2,H
1983-09-27,1983,Chesterfield,Hereford United,0-0,0,0,4,4,0,0,D
1983-09-27,1983,Darlington,Bury,1-2,1,2,4,4,3,-1,A
1983-09-27,1983,Doncaster Rovers,York City,2-2,2,2,4,4,4,0,D
1983-09-27,1983,Halifax Town,Northampton Town,2-2,2,2,4,4,4,0,D
