Date,Season,home,visitor,FT,hgoal,vgoal,division,tier,totgoal,goaldif,result
1892-09-03,1892,Birmingham City,Port Vale,5-1,5,1,2,2,6,4,H
1892-09-03,1892,Burton Swifts,Crewe Alexandra,7-1,7,1,2,2,8,6,H
1892-09-03,1892,Grimsby Town,Northwich Victoria,2-1,2,1,2,2,3,1,H
1892-09-03,1892,Manchester City,Bootle,7-0,7,0,2,2,7,7,H
1892-09-03,1892,Sheffield United,Lincoln City,4-2,4,2,2,2,6,2,H
1892-09-03,1892,Walsall,Darwen,1-2,1,2,2,2,3,-1,A
1892-09-10,1892,Bootle,Sheffield United,2-0,2,0,2,2,2,2,H
1892-09-10,1892,Crewe Alexandra,Grimsby Town,1-0,1,0,2,2,1,1,H
1892-09-10,1892,Darwen,Burton Swifts,2-3,2,3,2,2,5,-1,A
1892-09-10,1892,Northwich Victoria,Manchester City,0-3,0,3,2,2,3,-3,A
1892-09-10,1892,Walsall,Birmingham City,1-3,1,3,2,2,4,-2,A
1892-09-12,1892,Manchester City,Port Vale,2-0,2,0,2,2,2,2,H
1892-09-17,1892,Bootle,Port Vale,1-1,1,1,2,2,2,0,D
1892-09-17,1892,Crewe Alexandra,Northwich Victoria,4-2,4,2,2,2,6,2,H
1892-09-17,1892,Grimsby Town,Darwen,0-1,0,1,2,2,1,-1,A
1892-09-17,1892,Sheffield United,Birmingham City,2-0,2,0,2,2,2,2,H
1892-09-17,1892,Walsall,Manchester City,2-4,2,4,2,2,6,-2,A
1892-09-24,1892,Birmingham City,Lincoln City,4-1,4,1,2,2,5,3,H
1892-09-24,1892,Burton Swifts,Bootle,2-1,2,1,2,2,3,1,H
1892-09-24,1892,Darwen,Walsall,5-0,5,0,2,2,5,5,H
1892-09-24,1892,Manchester City,Northwich Victoria,1-1,1,1,2,2,2,0,D
1892-09-24,1892,Port Vale,Crewe Alexandra,4-1,4,1,2,2,5,3,H
1892-09-27,1892,Sheffield United,Grimsby Town,2-0,2,0,2,2,2,2,H
1892-10-01,1892,Crewe Alexandra,Burton Swifts,2-4,2,4,2,2,6,-2,A
1892-10-01,1892,Grimsby Town,Birmingham City,3-2,3,2,2,2,5,1,H
1892-10-01,1892,Lincoln City,Sheffield United,1-0,1,0,2,2,1,1,H
1892-10-01,1892,Manchester City,Walsall,2-0,2,0,2,2,2,2,H
1892-10-01,1892,Northwich Victoria,Bootle,3-2,3,2,2,2,5,1,H
1892-10-01,1892,Port Vale,Darwen,2-4,2,4,2,2,6,-2,A
1892-10-03,1892,Burton Swifts,Birmingham City,2-3,2,3,2,2,5,-1,A
1892-10-08,1892,Birmingham City,Crewe Alexandra,6-0,6,0,2,2,6,6,H
1892-10-08,1892,Darwen,Manchester City,3-1,3,1,2,2,4,2,H
1892-10-08,1892,Grimsby Town,Bootle,3-0,3,0,2,2,3,3,H
1892-10-08,1892,Port Vale,Burton Swifts,1-0,1,0,2,2,1,1,H
1892-10-08,1892,Walsall,Lincoln City,2-1,2,1,2,2,3,1,H
1892-10-10,1892,Port Vale,Manchester City,1-2,1,2,2,2,3,-1,A
1892-10-15,1892,Sheffield United,Darwen,2-0,2,0,2,2,2,2,H
1892-10-22,1892,Darwen,Bootle,3-0,3,0,2,2,3,3,H
1892-10-22,1892,Lincoln City,Port Vale,3-4,3,4,2,2,7,-1,A
1892-10-22,1892,Manchester City,Birmingham City,2-2,2,2,2,2,4,0,D
1892-10-22,1892,Northwich Victoria,Crewe Alexandra,4-1,4,1,2,2,5,3,H
1892-10-22,1892,Walsall,Grimsby Town,3-1,3,1,2,2,4,2,H
1892-10-29,1892,Birmingham City,Darwen,3-2,3,2,2,2,5,1,H
1892-11-05,1892,Bootle,Birmingham City,1-4,1,4,2,2,5,-3,A
1892-11-05,1892,Burton Swifts,Northwich Victoria,2-0,2,0,2,2,2,2,H
1892-11-05,1892,Crewe Alexandra,Walsall,5-6,5,6,2,2,11,-1,A
1892-11-05,1892,Darwen,Port Vale,4-1,4,1,2,2,5,3,H
1892-11-05,1892,Grimsby Town,Manchester City,2-0,2,0,2,2,2,2,H
1892-11-12,1892,Birmingham City,Burton Swifts,3-2,3,2,2,2,5,1,H
