Date,Season,home,visitor,FT,hgoal,vgoal,division,tier,totgoal,goaldif,result
2008-08-09,2008,Accrington,Aldershot,0-1,0,1,4,4,1,-1,A
2008-08-09,2008,AFC Bournemouth,Gillingham,1-1,1,1,4,4,2,0,D
2008-08-09,2008,Barnet,Chesterfield,1-3,1,3,4,4,4,-2,A
2008-08-09,2008,Bradford City,Notts County,2-1,2,1,4,4,3,1,H
2008-08-09,2008,Bury,Brentford,1-0,1,0,4,4,1,1,H
2008-08-09,2008,Dagenham and Redbridge,Chester,6-0,6,0,4,4,6,6,H
2008-08-09,2008,Darlington,Exeter City,1-1,1,1,4,4,2,0,D
2008-08-09,2008,Grimsby Town,Rochdale,0-0,0,0,4,4,0,0,D
2008-08-09,2008,Luton Town,Port Vale,1-3,1,3,4,4,4,-2,A
2008-08-09,2008,Rotherham United,Lincoln City,1-0,1,0,4,4,1,1,H
2008-08-09,2008,Shrewsbury Town,Macclesfield,4-0,4,0,4,4,4,4,H
2008-08-09,2008,Wycombe Wanderers,Morecambe,1-1,1,1,4,4,2,0,D
2008-08-16,2008,Aldershot,AFC Bournemouth,1-1,1,1,4,4,2,0,D
2008-08-16,2008,Brentford,Grimsby Town,4-0,4,0,4,4,4,4,H
2008-08-16,2008,Chester,Wycombe Wanderers,0-2,0,2,4,4,2,-2,A
2008-08-16,2008,Chesterfield,Bury,1-3,1,3,4,4,4,-2,A
2008-08-16,2008,Exeter City,Shrewsbury Town,0-1,0,1,4,4,1,-1,A
2008-08-16,2008,Gillingham,Luton Town,0-1,0,1,4,4,1,-1,A
2008-08-16,2008,Lincoln City,Dagenham and Redbridge,1-3,1,3,4,4,4,-2,A
2008-08-16,2008,Macclesfield,Bradford City,0-2,0,2,4,4,2,-2,A
2008-08-16,2008,Morecambe,Rotherham United,1-3,1,3,4,4,4,-2,A
2008-08-16,2008,Notts County,Darlington,0-0,0,0,4,4,0,0,D
2008-08-16,2008,Port Vale,Accrington,0-2,0,2,4,4,2,-2,A
2008-08-16,2008,Rochdale,Barnet,3-1,3,1,4,4,4,2,H
2008-08-23,2008,Accrington,Macclesfield,2-0,2,0,4,4,2,2,H
2008-08-23,2008,AFC Bournemouth,Exeter City,0-1,0,1,4,4,1,-1,A
2008-08-23,2008,Barnet,Brentford,0-1,0,1,4,4,1,-1,A
2008-08-23,2008,Bradford City,Rochdale,2-0,2,0,4,4,2,2,H
2008-08-23,2008,Bury,Morecambe,2-1,2,1,4,4,3,1,H
2008-08-23,2008,Dagenham and Redbridge,Port Vale,1-1,1,1,4,4,2,0,D
2008-08-23,2008,Darlington,Gillingham,1-2,1,2,4,4,3,-1,A
2008-08-23,2008,Grimsby Town,Chesterfield,0-1,0,1,4,4,1,-1,A
2008-08-23,2008,Luton Town,Notts County,1-1,1,1,4,4,2,0,D
2008-08-23,2008,Rotherham United,Chester,3-1,3,1,4,4,4,2,H
2008-08-23,2008,Shrewsbury Town,Aldershot,1-0,1,0,4,4,1,1,H
2008-08-23,2008,Wycombe Wanderers,Lincoln City,1-0,1,0,4,4,1,1,H
2008-08-30,2008,Aldershot,Bradford City,3-2,3,2,4,4,5,1,H
2008-08-30,2008,Brentford,Rotherham United,0-0,0,0,4,4,0,0,D
2008-08-30,2008,Chester,Barnet,5-1,5,1,4,4,6,4,H
2008-08-30,2008,Chesterfield,Wycombe Wanderers,0-1,0,1,4,4,1,-1,A
2008-08-30,2008,Exeter City,Luton Town,0-1,0,1,4,4,1,-1,A
2008-08-30,2008,Gillingham,Accrington,1-0,1,0,4,4,1,1,H
2008-08-30,2008,Lincoln City,Grimsby Town,1-1,1,1,4,4,2,0,D
2008-08-30,2008,Macclesfield,Darlington,0-6,0,6,4,4,6,-6,A
2008-08-30,2008,Morecambe,Dagenham and Redbridge,1-2,1,2,4,4,3,-1,A
2008-08-30,2008,Notts County,Shrewsbury Town,2-2,2,2,4,4,4,0,D
2008-08-30,2008,Port Vale,AFC Bournemouth,3-1,3,1,4,4,4,2,H
2008-08-30,2008,Rochdale,Bury,1-1,1,1,4,4,2,0,D
2008-09-06,2008,Aldershot,Darlington,2-1,2,1,4,4,3,1,H
2008-09-06,2008,Brentford,Dagenham and Redbridge,2-1,2,1,4,4,3,1,H
2008-09-06,2008,Chester,Bury,1-1,1,1,4,4,2,0,D
2008-09-06,2008,Chesterfield,Rotherham United,1-0,1,0,4,4,1,1,H
2008-09-06,2008,Exeter City,Accrington,2-1,2,1,4,4,3,1,H
2008-09-06,2008,Gillingham,Grimsby Town,3-0,3,0,4,4,3,3,H
2008-09-06,2008,Lincoln City,Barnet,2-0,2,0,4,4,2,2,H
2008-09-06,2008,Macclesfield,Luton Town,2-1,2,1,4,4,3,1,H
2008-09-06,2008,Morecambe,Shrewsbury Town,1-0,1,0,4,4,1,1,H
2008-09-06,2008,Notts County,AFC Bournemouth,1-1,1,1,4,4,2,0,D
2008-09-06,2008,Port Vale,Bradford City,0-2,0,2,4,4,2,-2,A
2008-09-06,2008,Rochdale,Wycombe Wanderers,0-1,0,1,4,4,1,-1,A
2008-09-13,2008,Accrington,Notts County,1-1,1,1,4,4,2,0,D
2008-09-13,2008,AFC Bournemouth,Macclesfield,0-1,0,1,4,4,1,-1,A
2008-09-13,2008,Barnet,Morecambe,1-1,1,1,4,4,2,0,D
2008-09-13,2008,Bradford City,Exeter City,4-1,4,1,4,4,5,3,H
2008-09-13,2008,Bury,Lincoln City,3-1,3,1,4,4,4,2,H
2008-09-13,2008,Dagenham and Redbridge,Chesterfield,3-0,3,0,4,4,3,3,H
2008-09-13,2008,Darlington,Port Vale,2-1,2,1,4,4,3,1,H
2008-09-13,2008,Grimsby Town,Chester,1-3,1,3,4,4,4,-2,A
2008-09-13,2008,Luton Town,Aldershot,3-1,3,1,4,4,4,2,H
2008-09-13,2008,Rotherham United,Rochdale,2-2,2,2,4,4,4,0,D
2008-09-13,2008,Shrewsbury Town,Gillingham,7-0,7,0,4,4,7,7,H
2008-09-13,2008,Wycombe Wanderers,Brentford,0-0,0,0,4,4,0,0,D
2008-09-20,2008,Aldershot,Gillingham,2-1,2,1,4,4,3,1,H
2008-09-20,2008,Barnet,Bury,1-2,1,2,4,4,3,-1,A
2008-09-20,2008,Bradford City,AFC Bournemouth,1-3,1,3,4,4,4,-2,A
2008-09-20,2008,Brentford,Lincoln City,1-1,1,1,4,4,2,0,D
2008-09-20,2008,Darlington,Accrington,3-0,3,0,4,4,3,3,H
2008-09-20,2008,Exeter City,Notts County,2-2,2,2,4,4,4,0,D
2008-09-20,2008,Morecambe,Grimsby Town,1-1,1,1,4,4,2,0,D
2008-09-20,2008,Port Vale,Macclesfield,1-4,1,4,4,4,5,-3,A
2008-09-20,2008,Rochdale,Chesterfield,2-1,2,1,4,4,3,1,H
2008-09-20,2008,Rotherham United,Luton Town,1-0,1,0,4,4,1,1,H
2008-09-20,2008,Wycombe Wanderers,Dagenham and Redbridge,2-1,2,1,4,4,3,1,H
2008-09-21,2008,Chester,Shrewsbury Town,1-1,1,1,4,4,2,0,D
2008-09-27,2008,AFC Bournemouth,Darlington,3-1,3,1,4,4,4,2,H
2008-09-27,2008,Bury,Wycombe Wanderers,0-0,0,0,4,4,0,0,D
2008-09-27,2008,Chesterfield,Brentford,0-1,0,1,4,4,1,-1,A
2008-09-27,2008,Dagenham and Redbridge,Rotherham United,1-1,1,1,4,4,2,0,D
2008-09-27,2008,Gillingham,Port Vale,1-0,1,0,4,4,1,1,H
2008-09-27,2008,Grimsby Town,Barnet,0-1,0,1,4,4,1,-1,A
2008-09-27,2008,Lincoln City,Morecambe,1-1,1,1,4,4,2,0,D
2008-09-27,2008,Luton Town,Chester,1-1,1,1,4,4,2,0,D
2008-09-27,2008,Macclesfield,Exeter City,1-4,1,4,4,4,5,-3,A
2008-09-27,2008,Notts County,Aldershot,2-1,2,1,4,4,3,1,H
2008-09-27,2008,Shrewsbury Town,Bradford City,2-0,2,0,4,4,2,2,H
2008-09-28,2008,Accrington,Rochdale,1-3,1,3,4,4,4,-2,A
2008-10-04,2008,Aldershot,Bury,3-3,3,3,4,4,6,0,D
2008-10-04,2008,Barnet,Accrington,2-1,2,1,4,4,3,1,H
2008-10-04,2008,Bradford City,Luton Town,1-1,1,1,4,4,2,0,D
2008-10-04,2008,Brentford,Macclesfield,1-0,1,0,4,4,1,1,H
2008-10-04,2008,Chester,Lincoln City,0-2,0,2,4,4,2,-2,A
2008-10-04,2008,Darlington,Shrewsbury Town,1-1,1,1,4,4,2,0,D
2008-10-04,2008,Exeter City,Gillingham,3-0,3,0,4,4,3,3,H
2008-10-04,2008,Morecambe,Chesterfield,2-2,2,2,4,4,4,0,D
2008-10-04,2008,Port Vale,Notts County,1-2,1,2,4,4,3,-1,A
2008-10-04,2008,Rochdale,Dagenham and Redbridge,0-2,0,2,4,4,2,-2,A
2008-10-04,2008,Rotherham United,Grimsby Town,4-1,4,1,4,4,5,3,H
2008-10-04,2008,Wycombe Wanderers,AFC Bournemouth,3-1,3,1,4,4,4,2,H
2008-10-10,2008,Dagenham and Redbridge,Barnet,2-0,2,0,4,4,2,2,H
2008-10-10,2008,Lincoln City,Rochdale,1-1,1,1,4,4,2,0,D
2008-10-11,2008,Accrington,Bradford City,2-3,2,3,4,4,5,-1,A
2008-10-11,2008,AFC Bournemouth,Rotherham United,0-0,0,0,4,4,0,0,D
2008-10-11,2008,Bury,Exeter City,0-1,0,1,4,4,1,-1,A
2008-10-11,2008,Chesterfield,Chester,1-1,1,1,4,4,2,0,D
2008-10-11,2008,Gillingham,Morecambe,5-0,5,0,4,4,5,5,H
2008-10-11,2008,Grimsby Town,Wycombe Wanderers,1-1,1,1,4,4,2,0,D
2008-10-11,2008,Luton Town,Darlington,1-2,1,2,4,4,3,-1,A
2008-10-11,2008,Macclesfield,Aldershot,4-2,4,2,4,4,6,2,H
2008-10-11,2008,Shrewsbury Town,Port Vale,1-2,1,2,4,4,3,-1,A
2008-10-13,2008,Notts County,Brentford,1-1,1,1,4,4,2,0,D
